District,Block,Panchyat,Code,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kalosihiria,121632,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kardega,121717,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Karkatnasa,121718,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Khukundubahal,121633,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Korama,121720,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kuarmunda,121634,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kumjharia,121635,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Majhapur,121636,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Padampur,121637,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Pratappur,121638,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Puturikhaman,121639,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Raiboga,121640,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Salangabahal,121641,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Amgova,121642,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Biringatali,121643,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Gangajal,121644,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Gyanpali,121645,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Jharbeda,121646,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Kandeimunda,121647,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Katang,121648,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Khatkurbahal,121649,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Kiringsira,121650,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Kutra,121651,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Nuagaon,121652,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Panchara,121653,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Purkapali,121654,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Rajabasa,121655,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Tarkera,121656,,,,,,,,,,,,,,,,,
Sundargarh,KUTRA,Tunmura,121657,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Badpuranpani,121658,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Bhatuda,121659,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Bimalagarh,121610,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Bonaikela,121568,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Daleisara,121660,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Darjing,121661,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Fuljhar,121662,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Gopna,121613,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Haldikudar,121663,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Kaleiposh,121664,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Khuntagaon,121665,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Kuliposh,121666,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Kundheikela,121667,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Kurda,121668,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Lahunipara,121669,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Mahulpada,121670,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Rajamunda,121671,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Ruguda,121576,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Sankela,121672,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Sankhaposh,121673,,,,,,,,,,,,,,,,,
Sundargarh,LAHUNIPARA,Talbahali,121674,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Bad-Dalki,121675,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Balanda,121676,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Banki,121578,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Birja,121677,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Birkera,121678,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Chandiposh,121581,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Chikatmati,121679,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Garjan,121680,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Hatibandha,121681,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Jadakudar,121682,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Jalda,121683,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Jhartarang,121684,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Kucheita,121584,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Kulunga,121685,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Lathikata,121686,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Mundajore,121687,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Ramjodi,121688,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Suidihi,121689,,,,,,,,,,,,,,,,,
Sundargarh,LATHIKATA,Tainsar,121690,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Alapaka,121691,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Badbanga,121692,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Chhatenpali,121693,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Darliput,121694,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Dumabahal,121695,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Giringkela,121696,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Gundiadihi,121697,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Hurmei,121698,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Jhurimal,121699,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Kulabira,121700,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Lephiripara,121701,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Masabira,121702,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Raibaga,121703,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Raidihi,121704,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Rajbahal,121705,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Sarafgarh,121706,,,,,,,,,,,,,,,,,
Sundargarh,LEPHRIPADA,Sargipali,121707,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Ankurpali,121709,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Badajojoda,121710,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Bagdega,121711,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Barilepta,121712,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Chitapedi,121713,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Hatibari,121714,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Jahaditoli,121715,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Jharbeda,121628,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Kacharu,121630,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Kandarkela,121716,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Kardega,121717,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Karkatnasa,121718,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Khuntgaon,121719,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Korama,121720,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Limida,121721,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Lukumbeda,121722,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Menmena,121708,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Nuagaon,121723,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Purunapani,121724,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Sorda,121725,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Teterkela,121726,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Thethoiposh,121562,,,,,,,,,,,,,,,,,
Sundargarh,NUAGAON,Urmai,121727,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Alanda,121728,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Buchukupara,121729,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Budha-Am,121730,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Chungimati,121731,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Jareikela,121732,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Kesramal,121733,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Kukuda,121734,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Kunmuru,121735,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Kutunia,121736,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Laing,121737,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Malidihi,121738,,,,,,,,,,,,,,,,,
Sundargarh,RAJGANGPUR,Panposh,121739,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Baragarh,121754,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Bhadabahal,121755,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Bhasma,121756,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Birbira,121757,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Deuli,121758,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Karla,121759,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Kinjirma,121760,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Kirei,121761,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Kulta,121762,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Kundukela,121763,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Lahandabud,121764,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Lankahuda,121765,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Ledhimarg,121766,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Majhapara,121767,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Masonikani,121768,,,,,,,,,,,,,,,,,
Sundargarh,SADAR,Salepali,121769,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Damkuda,121740,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Deogaon,121741,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Hamirpur,121742,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Jaisore,121743,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Jamuna,121744,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Karamdihi,121745,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Karumkel,121746,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Kiralaga,121747,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Kukuridihi,121748,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Kulab,121749,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Patrapali,121694,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Rajpur,121750,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Ratanpur,121699,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Subdega,121751,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Sublaya,121752,,,,,,,,,,,,,,,,,
Sundargarh,SUBDEGA,Tengargaon,121753,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Badbanga,121692,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Darliput,121694,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Gambhardihi,121770,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Jhurimal,121699,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Jogimal,121771,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Kanaktura,121609,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Kiripsira,121772,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Mahulpali,121773,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Mangaspur,121774,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Megdega,121775,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Nialipali,121776,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Raibaga,121703,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Raidihi,121704,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Remenda,121779,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Sargipali,121707,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Tangarpali,121780,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Tasladihi,121781,,,,,,,,,,,,,,,,,
Sundargarh,TANGARPALLI,Ujjalpur,121782,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
